城市,区域,店名,地址,电话,类型,评分,营业时间,品牌,经纬度,ID
东莞,万江街道,东莞景成商务酒店(万江人民医院店),万江街道共联商业街3号,0769-22280228;15555534138,住宿服务;宾馆酒店;宾馆酒店,4.2,,COSTA,"113.706629,23.032298",B030103QCD
东莞,万江街道,东馆印象,坝头社区下坝坊162号,[],体育休闲服务;娱乐场所;酒吧,4.1,,,"113.732737,23.025058",B0FFG1XZQR
东莞,万江街道,乘凉咖啡,莞城区东正路45号,13537549391,餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.760668,23.042769",B0I3KUA17W
东莞,万江街道,佐伊Zoe'coffee,金鳌洲金鳌路100号之一201室,[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.736063,23.038913",B0KUTUBUUH
东莞,万江街道,佳和便利店(万江社区卫生服务站东北),万江街道黄新街47号,[],购物服务;便民商店/便利店;便民商店/便利店,4.4,,COSTA,"113.732700,23.053136",B03017WKHZ
东莞,万江街道,入夜,莞城街道县正路30号,[],餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.759920,23.043571",B0HRPS58E9
东莞,万江街道,勿空咖啡,堑头路一巷8号103室,[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.760695,23.047891",B0H2DCD1T6
东莞,万江街道,化學拼圖咖啡工作室,东城街道堑头路96号110室化学拼图咖啡工作室,[],餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.768906,23.050074",B0JUOHHDEK
东莞,万江街道,唐港Cafe(荔苑店),莞城街道学院路步步高万兴路荔苑15栋99号,13712233081,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.769461,23.045331",B0FFKVAXCL
东莞,万江街道,喜乐茶啡(圆舍),莞城区黄屋坊五巷6号,13416893864,餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.737975,23.034705",B0L6DZ5YU0
东莞,万江街道,喜鹊精品咖啡豆,工农路88号10号仓,[],餐饮服务;咖啡厅;咖啡厅,3.7,,,"113.735264,23.031242",B0KRYL1RF2
东莞,万江街道,国家税务总局东莞市税务局万江税务分局,万江街道徐屋街10号(万江街道行政办事中心2号楼1-2层),[],政府机构及社会团体;工商税务机构;工商税务机构,[],,COSTA,"113.738343,23.048142",B0H125A3NE
东莞,万江街道,国家税务总局东莞市税务局万江税务分局24小时自助办税厅,万江街道徐屋街10号(万江街道行政办事中心2号楼一、二层),0769-26997272,政府机构及社会团体;工商税务机构;工商税务机构,[],,COSTA,"113.738370,23.048146",B0H125ABE5
东莞,万江街道,塔斯汀中国汉堡(万江石美店),万江街道万江区石美大街36号,13332670983,餐饮服务;快餐厅;快餐厅,4.3,,COSTA,"113.722030,23.056917",B0J04538SJ
东莞,万江街道,塘鱼村·脆肉鲩(万江共联店),万江街道阳光海岸1期11栋118号,13712726978,餐饮服务;中餐厅;海鲜酒楼,4.4,,COSTA,"113.714735,23.029473",B03017WL00
东莞,万江街道,大马茶餐室coffee food,解放路40号101,13829250202,餐饮服务;中餐厅;中餐厅,3.6,,,"113.749727,23.036724",B0LDVS4XH8
东莞,万江街道,天地兴隆咖啡馆(龙湾店),万江街道坝新路1号龙湾新城花园6号楼103室,18128657177;18128664513,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.722377,23.022910",B0J2Z5D87U
东莞,万江街道,宅居咖啡,金泰永泰三街七巷与金泰永泰三街交叉口西南60米,[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.732925,23.039175",B0LBRZGVRT
东莞,万江街道,屋里咖啡,南城区胜和豪岗二村下屋14巷11号,[],餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.743161,23.027162",B0KG974EM8
东莞,万江街道,山语咖啡(塞纳河畔店),运河东三路28号塞纳河畔179,15817751909,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.744713,23.037129",B0IU5ZWMT8
东莞,万江街道,工会爱心驿站(万江大莲塘站),万江街道长盛街一巷11号,[],生活服务;生活服务场所;生活服务场所,[],,COSTA,"113.717665,23.041990",B0J1OLD2MD
东莞,万江街道,幸酝coffee,莞城街道鳒鱼洲17栋,[],餐饮服务;咖啡厅;咖啡厅,3.7,,,"113.733647,23.032260",B0K3CZ1DAY
东莞,万江街道,庄园壹号咖啡厅(葡萄庄园一期店),葡萄庄园一期,18107696523,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.722739,23.037151",B0JRNM5JV7
东莞,万江街道,库迪咖啡(东莞理工学院莞城校区店),东城街道汉塘街26号6栋109房,17702632672,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.771210,23.052039",B0LB7CFHBC
东莞,万江街道,康悦印象·美容·茶艺·国际芳香疗法(万江逸豪店),万江街道万道路万江段28号之一1013室,0769-26991219,生活服务;洗浴推拿场所;洗浴推拿场所,4.9,,COSTA,"113.712639,23.030542",B0GK7R323X
东莞,万江街道,怪兽咖啡Monster Coffee(鳒鱼洲店),莞城街道鳒鱼洲路8号17号楼101室,13729910115,餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.733689,23.032319",B0K6H5FNRU
东莞,万江街道,抖鹿咖啡,高桥坊与莞城可园路辅路交叉口西南40米,[],餐饮服务;咖啡厅;咖啡厅,3.4,,,"113.744019,23.040125",B0FFJCUKND
东莞,万江街道,新天地网吧(都会广场店),万江街道万江万福路152号1008室,13713426258;13929497066,体育休闲服务;娱乐场所;网吧,4.5,,COSTA,"113.735295,23.047364",B03018QT4T
东莞,万江街道,昕昕咖啡,万江街道金鳌州金鳌路109号,13686096601,餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.735908,23.038985",B0J3LH0ZOO
东莞,万江街道,曦龙广场,万江街道公园路2号,[],风景名胜;公园广场;公园,4.6,,COSTA,"113.738197,23.045219",B0301009B8
东莞,万江街道,曲海社区曲海路55号,万江街道曲海路55号,[],地名地址信息;门牌信息;门牌信息,[],,COSTA,"113.723414,23.030766",B0JURH703B
东莞,万江街道,树夏咖啡(澳南路七巷店),八达路263号,13725801405,餐饮服务;咖啡厅;咖啡厅,4.3,,,"113.758864,23.031991",B0ID7RVJUO
东莞,万江街道,树里咖啡,万江街道新莲塘新二区五巷5号102室万江街道新莲塘新二区五巷,13686634373;15322965727,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.713941,23.038430",B0KRD7O217
东莞,万江街道,棠梨咖啡,莞城街道东正公园路1号123室,[],餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.759955,23.040084",B0K2DUFZ1E
东莞,万江街道,植觉猜想THINKCOFFEE,工农8号1号门旁,[],餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.734452,23.029183",B0LGBH0LUE
东莞,万江街道,歆泉心理疗愈咖啡馆,安靖路2号,13416887834,餐饮服务;咖啡厅;咖啡厅,3.5,,,"113.755468,23.046530",B0K2J75XJH
东莞,万江街道,然的咖啡(葡萄庄园二期店),万江街道新城社区金鳌大道9号葡萄庄园47号商住楼商铺49号,0769-28680109;13790258772;18680632303,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.725040,23.039330",B0FFHWEE6Z
东莞,万江街道,理想汽车超级充电站(理想超充站东莞万江新和),万江街道万江新华路,4006860400,汽车服务;充电站;充电站,3.8,,COSTA,"113.692604,22.994900",B0KK3CX4H7
东莞,万江街道,瓦间集檐时咖啡馆,金鳌州金鳌路与金曲路交叉口西南60米,[],餐饮服务;咖啡厅;咖啡厅,[],,,"113.736825,23.039825",B0LU9M6JCE
东莞,万江街道,画影咖啡,下坝一坊与下坝坊交叉口东北220米,[],餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.732535,23.026240",B0J3ZSVYWE
东莞,万江街道,禅露咖啡馆(Warish coffee),东城街道堑头路松塘街9号,17722318886,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.765420,23.051061",B0KK5DESXX
东莞,万江街道,秋冬咖啡Studio,工农路55号2107室,[],餐饮服务;咖啡厅;咖啡厅,3.8,,,"113.736169,23.030786",B0KDLMQ5GI
东莞,万江街道,科鹿咖啡,高桥坊与莞城可园路辅路交叉口西南40米,[],餐饮服务;咖啡厅;咖啡厅,0.2,,,"113.744025,23.040125",B0LAYYULXA
东莞,万江街道,空间咖啡,莞城街道,18922926455,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.738591,23.038626",B0J0GS88KX
东莞,万江街道,竹隐小舍非遗咖啡文化馆,万江街道下坝坊文化创意街213号,13268949131,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.733312,23.023948",B0K2R78OD6
东莞,万江街道,第36個故事咖啡館,安靖路与温家围路交叉口西北20米,[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.755434,23.046618",B0LANGRVBC
东莞,万江街道,苏拉电竞馆,万江街道坝新路107号101室,17342688984,体育休闲服务;娱乐场所;网吧,4.7,,COSTA,"113.706669,23.009190",B0I1FRUA7P
东莞,万江街道,角落咖啡,金泰永泰路3号4栋118,13712108094,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.731861,23.038606",B0KRSUGR82
东莞,万江街道,边树茶啡,下坝坊创意文化街十二号之1号,15307693970,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.732690,23.026553",B0J06LRXRJ
东莞,万江街道,迈可荣精机,万江街道万江新华路112号,[],公司企业;公司;机械电子,[],,COSTA,"113.702138,22.999794",B0IR3SL4F2
东莞,万江街道,迎恩社,松柏街与松柏高街交叉口东北20米,15989196339,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.753654,23.041624",B0JD5OCJ6G
东莞,万江街道,香馥SHAREFOODS(君尚店),莞城街道东纵大道愉景威尼斯广场93号东莞君尚百货L1层1-21G铺,18929412022,餐饮服务;餐饮相关场所;餐饮相关,4.5,,,"113.773186,23.038758",B0H0SL3WTA
东莞,万江街道,魅久馆(万江店),万江街道万福兴隆街2号103室(中国建设银行旁),13377739950,生活服务;美容美发店;美容美发店,4.6,,COSTA,"113.732476,23.050697",B0K0VZCR6R
东莞,万江街道,鸿泰洋网咖,万江街道创业工业路22号201室,18529088205,体育休闲服务;娱乐场所;网吧,4.8,,COSTA,"113.707299,23.011399",B03017VSFE
东莞,万江街道,麗枫酒店(东莞万江中学华南MALL店),万江街道共联社区金龙路73号,18944729550,住宿服务;宾馆酒店;宾馆酒店,4.8,,COSTA,"113.708676,23.037679",B0HR45Y7QJ
东莞,万江街道,黄金回收(万江一店),万江街道万江黄新街37号,13712896502,生活服务;生活服务场所;生活服务场所,4.0,,COSTA,"113.733300,23.053343",B0KA15PU68
东莞,东坑镇,(在)杂制社AT MAKEZINE,东坑镇东兴中路125号四季广场外四季金街110号铺,13824786848,购物服务;购物相关场所;购物相关场所,4.1,,,"113.943050,22.997609",B0KGHAVIU6
东莞,东坑镇,1018 coffee X flower,致爱动物诊所东兴东路与新门楼笠帽头巷交叉口正南方向19米,[],餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.948862,22.995217",B0J3RS26FE
东莞,东坑镇,207摄影咖啡屋,横沥镇大村谭屋路2号,13925831419,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.969702,23.022977",B0J16C31A6
东莞,东坑镇,30 coffee(弎拾咖啡),寮步镇胡屋良边25巷1号,13546941393;13546951393,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.886290,23.004316",B0JGGZQ96D
东莞,东坑镇,A+咖柠手打柠檬茶(万升荟广场店),东坑镇东兴中路212号163档,18617253016,餐饮服务;餐饮相关场所;餐饮相关,4.3,,,"113.941773,22.996158",B0KD5UPV8P
东莞,东坑镇,CIELO COFFEE司旅咖啡(寮步天桥店),寮步镇莞樟路寮步段1119号143室,13332666005,餐饮服务;咖啡厅;咖啡厅,3.6,,,"113.886717,22.990031",B0KDPDV8R3
东莞,东坑镇,CIELO COFFEE司旅咖啡(稻香店),横沥镇西城工业区西香路11号4号楼,0769-83455777,餐饮服务;咖啡厅;咖啡厅,4.4,,,"113.931204,23.034354",B0JUYZC7K2
东莞,东坑镇,COTTI COFFEE(中山西路店),和平街与中山西路交叉口西北20米,[],餐饮服务;咖啡厅;咖啡厅,2.5,,,"113.965270,23.021121",B0LAGUUCKY
东莞,东坑镇,CoCo都可(东坑镇四季广场店),东坑镇东兴中路125号四季广场(一楼1-07号铺位),13662700794,餐饮服务;冷饮店;冷饮店,4.1,,,"113.943633,22.996546",B0FFLIYIM5
东莞,东坑镇,Coffee环球新店,环球广场,[],餐饮服务;咖啡厅;咖啡厅,1.7,,,"113.920177,22.955887",B0LB4UHW3G
东莞,东坑镇,DC Cafe(单采),东坑镇东坑村细岭路11号二巷,13798777994,餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.946486,22.981694",B0I1DASQUT
东莞,东坑镇,Half Coffee·一半咖啡(丰泰天禧苑店),东坑镇沿河西二路42号116室,13414412200,餐饮服务;咖啡厅;咖啡厅,4.2,,,"113.944010,22.988540",B0JRNM6DXD
东莞,东坑镇,LEISURE TIME COFFEE,环球广场,[],餐饮服务;咖啡厅;咖啡厅,0.2,,,"113.918871,22.955568",B0LAKXN6XM
东莞,东坑镇,MC柠檬茶(环球大厦店),大朗镇环球贸易广场110号,13537011063,餐饮服务;餐饮相关场所;餐饮相关,3.9,,,"113.920225,22.956325",B0G2XRMJU2
东莞,东坑镇,MET COFFEE觅咖啡,寮步镇金兴路520号民墅酒店内,13826903346,餐饮服务;餐饮相关场所;餐饮相关,4.1,,,"113.912342,22.976388",B0JBBN2O1G
东莞,东坑镇,Maycafe咖啡,东坑东安路与乐然路交叉口南180米,15818212342,餐饮服务;咖啡厅;咖啡厅,3.5,,,"113.952987,22.986242",B0JDUXX8ZV
东莞,东坑镇,McCafe(德汇嘉里广场大朗店),朗东路8号德汇嘉里广场大朗店F1层,[],餐饮服务;咖啡厅;咖啡厅,1.9,,,"113.947351,22.954895",B0LG31FH2M
东莞,东坑镇,Morning cafe,和平路31号103室,[],餐饮服务;咖啡厅;咖啡厅,4.1,,,"113.962847,23.021670",B0JU75OSOY
东莞,东坑镇,NOWWA挪瓦咖啡(南铭购物中心店),横沥镇隔坑工业路3号,18819701753,餐饮服务;餐饮相关场所;餐饮相关,3.7,,,"113.949106,23.017812",B0KUZUPXO3
东莞,东坑镇,Ninebot九号(东坑东兴中路店),东坑镇东兴中路120号,13318446875,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,4.2,,COSTA,"113.945565,22.995549",B0KAMS58TO
东莞,东坑镇,OPPO官方授权体验店(东莞东坑镇东兴中路店),东坑镇东兴中路400号,13650307711,购物服务;家电电子卖场;手机销售,4.1,,COSTA,"113.937463,22.997980",B0K2OC90NB
东莞,东坑镇,SMINA,东坑镇东裕广场,[],购物服务;服装鞋帽皮具店;服装鞋帽皮具店,3.8,,COSTA,"113.935738,22.998233",B0JUDHYNM8
东莞,东坑镇,Theonecafe,东坑镇沿河西二路106号,13202709357,餐饮服务;餐饮相关场所;餐饮相关,4.0,,,"113.947825,22.991625",B0FFKU5SJQ
东莞,东坑镇,UMMER COFFEE,横沥沿江南路与中山中路交叉口东北160米,[],餐饮服务;咖啡厅;咖啡厅,0.2,,,"113.971346,23.017768",B0LG0R6KS9
东莞,东坑镇,VAN+FEEL+COFFETEL,东兴东路与文阁路交叉口东20米,[],餐饮服务;咖啡厅;咖啡厅,2.7,,,"113.942629,22.996205",B0G3AN6MN6
东莞,东坑镇,WOW山口山coffee,横沥镇田头新苑路143号,13929219682,餐饮服务;咖啡厅;咖啡厅,3.9,,,"113.971561,23.011843",B0KKGHDXZD
东莞,东坑镇,YUAN·COFFEE,西溪育新街9号102室,15999874961,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.897225,22.995283",B0K05RYKEE
东莞,东坑镇,Ys·Coffee(巷头大厦店),富康路120号巷头大厦,18182336778,餐饮服务;咖啡厅;咖啡厅,3.5,,,"113.923717,22.954882",B0L666G7SW
东莞,东坑镇,hold coffee,西溪大街与芦溪路交叉口西80米,[],餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.901012,22.996305",B0J1RKD9SW
东莞,东坑镇,一样咖啡馆(东坑店),东坑镇新塘路161号,13790456168,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.950166,22.987122",B0I2D5SE6A
东莞,东坑镇,三角咖啡(莞月松湖店),东坑科技路266号莞月湖花园1号楼103室,15217982889,餐饮服务;咖啡厅;咖啡厅,4.0,,,"113.932609,22.982819",B0LB1RY0MD
东莞,东坑镇,东乐电竞,东坑镇丰收路,13267553525,体育休闲服务;娱乐场所;网吧,4.2,,COSTA,"113.945688,23.002144",B0JG4RD902
东莞,东坑镇,东坑中兴五金电器,东坑镇东坑大道南116一101号,13794855156,购物服务;家居建材市场;建材五金市场,4.1,,COSTA,"113.923819,22.977481",B030105BES
东莞,东坑镇,东坑人力资源和社会保障分局,东坑镇东坑大道北4号,0769-89300363,政府机构及社会团体;政府机关;乡镇级政府及事业单位,[],,COSTA,"113.938625,22.999833",B03018N5HP
